label,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,rmse_normalized,accuracy_score,smoothness_score,connectivity_score,artifact_score,global_quality_score,n_vertices,n_triangles,mesh_components,bad_triangle_ratio,mean_aspect_ratio
0,0.007998191119618346,0.01032112109030145,0.021141893459944158,0.006510793971180083,0.01450898509079843,0.02376200516922971,0.9767917554829673,0.4582476624057293,0.009767512046988598,0.9956792645188527,0.6101215486136344,843.5166666666667,1369.0979166666666,103.52708333333334,0.004320735481147333,2.0183632990642484
1,0.007736286883014549,0.009407934465996897,0.01789716836132223,0.014332206816132105,0.022068493699146655,0.02482718640138648,0.9757785423254045,0.7990918429788328,0.04590928985467034,0.9470617879795475,0.6919603657846138,2826.039583333333,5427.435416666666,23.2,0.05293821202045247,9.126052522295005
2,0.004199801030392442,0.004854262837302425,0.008276307261841202,0.009541374907438739,0.01374117593783118,0.018889945193532494,0.9814615837577025,0.88186035074628,0.30579450063825064,0.9511108433757909,0.780056819629506,3088.76875,5924.10625,4.433333333333334,0.048889156624209035,6.401778232579416
3,0.006087843586264155,0.0069185998209023375,0.012010086491055876,0.008497668872893743,0.0145855124591579,0.017205623322495325,0.983085638502391,0.8689598184305238,0.996875,0.9924330527083999,0.9603383774103287,377.3666666666667,723.3833333333333,1.00625,0.007566947291600079,1.996434187412997
4,0.006482620939382861,0.007561431498135975,0.01277498259045908,0.009961974730750799,0.01644459567013366,0.017251256112924003,0.983042853276768,0.6178642184512764,0.42005711880711877,0.9797625980412877,0.7501816971441128,642.1520833333333,1256.8041666666666,3.275,0.020237401958712355,5.377726867347134
5,0.004406697062786734,0.0060827434973294014,0.0117240097070667,0.010393644251544622,0.014800341314331358,0.023607245923892968,0.9769649870680924,0.786563234054227,0.2660069339159217,0.9584895901104751,0.7470061862871791,1155.45625,2122.825,12.533333333333333,0.0415104098895249,6.2124499441897205
6,0.00884653129348658,0.010356602230901589,0.018977973607189377,0.008909604395283061,0.01775613568876964,0.013445109851346587,0.9867338800186872,0.7592901266924558,0.47953533156658157,0.9975639774945674,0.805780828943073,759.5979166666667,1251.86875,2.935416666666667,0.002436022505432549,1.8090579955640067
7,0.004518134818532852,0.005907187419338009,0.011213412635699142,0.008793488783556215,0.013311623602089068,0.017155332576675533,0.9831551745541753,0.7666995796545233,0.7521856586700336,0.9787829251904413,0.8702058345172934,451.1041666666667,813.775,2.1083333333333334,0.021217074809558596,3.4340384474924184
8,0.0044256385761302485,0.005624436338234262,0.010567795897625135,0.007980925944975539,0.012406564521105787,0.016378990187625602,0.983893194889992,0.7539880625943423,0.807703532000407,0.9788620865262687,0.8811117190027525,449.1166666666667,808.8583333333333,1.7541666666666667,0.021137913473731302,3.5523508045076704
9,0.004928310070526456,0.005779643751623106,0.010432426238386605,0.007410035118868692,0.012338345189395148,0.012492483172737028,0.9876652832577102,0.7625268813714706,0.9814236111111111,0.9973328253570942,0.9322371502743465,262.0,445.54375,1.0416666666666667,0.002667174642905818,1.7842061857895002
10,0.004995889681353349,0.005923336152296086,0.010792432741063765,0.007521565399737748,0.012517455081091096,0.012846587760236255,0.9873205160806198,0.7594847613086593,0.9798611111111111,0.9973429917537542,0.9310023450635361,259.2604166666667,436.09583333333336,1.0416666666666667,0.002657008246245858,1.7944782310892924
11,0.007017785091171736,0.008095733068535243,0.014316517916578201,0.010306009475834302,0.01732379456700604,0.013615745358693759,0.9865680367681917,0.7179258620349521,0.8104116084884757,0.9904363867022039,0.8763354734984559,434.37291666666664,728.0020833333333,2.1083333333333334,0.009563613297796031,2.429360780497381
12,0.007915891103345538,0.009676222376681764,0.017704345353481706,0.009720470763525507,0.017636361866871047,0.010975530528912618,0.989145153067031,0.7531217119516928,0.3001598806286306,0.9979053147618824,0.7600830151023091,498.9604166666667,740.725,4.891666666666667,0.002094685238117545,1.855987878186839
13,0.010062579883667794,0.01170465902806262,0.020217051868869122,0.010454005514696923,0.020516585398364717,0.012076212649216473,0.988069059824626,0.8618165365433382,0.7191319444444445,0.9976507530621836,0.891667073468648,1007.88125,1825.2729166666666,1.6729166666666666,0.0023492469378163074,1.824213491036169
